Reference, Value, Footprint, Datasheet, BOM, MPN, Manuf
"U3","Si7021","Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm",""
"C5","0.1u","Capacitors_SMD:C_0603",""
"C3","0.1u","Capacitors_SMD:C_0603",""
"D1","White LED","LEDs:LED_0603",""
"R2","10k","Resistors_SMD:R_0603",""
"R1","10k","Resistors_SMD:R_0603",""
"R4","1k","Resistors_SMD:R_0603",""
"J1","Con1","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm_SMD",""
"U1","AZ1117-3.3","TO_SOT_Packages_SMD:SOT-223",""
"U4","BMP280","MaxNil:BOSCH_BMP280","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001-18.pdf","Bosch BMP280","BMP280","Bosch"
"R5","10k","Resistors_SMD:R_0603",""
"R6","10k","Resistors_SMD:R_0603",""
"R3","82","Resistors_SMD:R_0603",""
"U2","ESP-12F","ESP8266:ESP-12E_SMD",""
"C4","0.1u","Capacitors_SMD:C_0603",""
"C1","1u","Capacitors_SMD:C_0603",""
"C2","1u","Capacitors_SMD:C_0603",""
"J2","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch1.27mm","~"
"J3","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch1.27mm","~"
"R7","10k","Resistors_SMD:R_0603",""
"R8","10k","Resistors_SMD:R_0603",""
